Id1	Id2	Count
runT3RsAAAAJ	MrVb9FkAAAAJ	58
cPmMoXoAAAAJ	GUAoEcAAAAAJ	1
cPmMoXoAAAAJ	iNANm-sAAAAJ	2
4VJre9IAAAAJ	MMuP6cMAAAAJ	1
eEdKpQgAAAAJ	QLsTu80AAAAJ	1
8GA4R2wAAAAJ	pHox8i0AAAAJ	2
54w2_AcAAAAJ	GUAoEcAAAAAJ	1
YRPveMcAAAAJ	x_7xA0UAAAAJ	9
DYZsiAIAAAAJ	loPUpHQAAAAJ	15
54w2_AcAAAAJ	p7XFn7MAAAAJ	9
xjVBcr4AAAAJ	ZRrTqs8AAAAJ	10
7WgUoKMAAAAJ	Q29WmWwAAAAJ	3
8a2Z1loAAAAJ	CPqBDqUAAAAJ	1
u18hG4gAAAAJ	gwB_pJcAAAAJ	2
ziDobv4AAAAJ	rcGnOdYAAAAJ	1
WZ-h67UAAAAJ	j9EXF1AAAAAJ	10
UYZGdYwAAAAJ	3DtMaPEAAAAJ	5
5HX--AYAAAAJ	ZflJqeUAAAAJ	17
FDu4ciwAAAAJ	Y_Ieu7EAAAAJ	3
8a2Z1loAAAAJ	J12C3nYAAAAJ	1
JQsX7rAAAAAJ	n6wC7nwAAAAJ	1
WHZiLTIAAAAJ	q_n7d6EAAAAJ	19
tHNANpEAAAAJ	vEbcIKYAAAAJ	3
